thread_id,customer_text,true_intent,pred_intent,true_escalate,pred_escalate,drafted_reply,judge_tone,judge_grounding,judge_reasoning
1063151,"@115858 donc quand notre iPhone chauffe juste parce qu’il est en charge et s’éteint à 45 % c’est rien ?
Faut sourire et en acheter un autre?",hardware_repair,hardware_repair,True,True,,,,
876712,@AppleSupport This iOS update is glitch on top of glitch on top of glitch. I’m very tired.,software_troubleshooting,software_troubleshooting,True,False,"We’re here to help. What’s happening with your device? Also, can you please tell us which version of iOS you are currently running?",,,
1066899,Just upgraded to the iPhone 7 from the SE. Battery life on the 7 is shocking @AppleSupport @115858 had it 2 days and already regretting it!,hardware_repair,hardware_repair,True,False,We're sorry to hear about the battery issue. Could you share your iOS version and battery usage stats? DM us so we can help troubleshoot.,,,
2358800,I have an iPhone 8 Plus. I updated my phone to iOS 11.1.1 and my phone has been freezing. I’m explaining glitches with my email and music app. Apple what’s good? @AppleSupport @115858,software_troubleshooting,software_troubleshooting,True,False,"Hi @115858, sorry to hear about the freezes. Could you share more details? DM us with your iPhone model and any error messages. We'll help you get it back to smooth sailing. https://t.co/GDrqU22YpT",,,
1067823,@AppleSupport I can’t turn on cellular data for certain apps and my phone is on the latest version of ios,software_troubleshooting,software_troubleshooting,True,False,"Thanks for reaching out! Check Settings → Cellular and make sure the toggle for the app is on. If it’s already on and still not working, let us know the app name and any error you see. We’re here to help.",,,
2143995,.@115858 this I️ glitch is the worst thing ever. How is this not fixed yet???,software_troubleshooting,software_troubleshooting,False,False,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
1474844,@115858 @AppleSupport What’s the update on a new update? iOS 11.0.3 has literally killed my phone. I think I’m going to Android like others,software_troubleshooting,software_troubleshooting,True,False,"We’re sorry to hear that. Let’s get your iPhone back to normal. DM us your current iOS version and device model, and we’ll help you troubleshoot. https://t.co/GDrqU22YpT",,,
2794357,Is the @115858 Mac’s rainbow pinwheel of death supposed to make me feel good about imminently  losing all my shit?  At least PC has the guts to kick you in the face w/ a spinning hour glass as if to say your life is about run out of sand.,other,software_troubleshooting,True,True,,,,
2734454,"@AppleSupport on the iphone x, do you still have the security feature of unlocking it with a password, or is it all done via facial recognition only?",general_inquiry,general_inquiry,False,False,"Thanks for reaching out. The iPhone X lets you unlock with Face ID or a passcode—both are available. If you want to use a passcode, go to Settings > Face ID & Passcode and enable it. Let us know if you need more help.",,,
362093,@AppleSupport iOS 11 has made it impossible to update apps in the AppStore! They just look like they’re loading but never actually do!,software_troubleshooting,software_troubleshooting,False,False,"Hi @user, sorry to hear the App Store isn’t updating. Check your internet, try Wi‑Fi, restart your iPhone, or sign out/in from the App Store. If it still doesn’t work, let us know your iPhone model and iOS 11 version.",,,
1469335,Does anyone know how to disable the iPhone asking for Apple Pay in iOS 11.03? I don’t use Apple Pay @AppleSupport,general_inquiry,software_troubleshooting,False,False,"Hi @user, we can help. Please contact Apple Pay Support: https://t.co/IBIY3vMgPj. They can guide you on disabling the prompt.",,,
